iter	Passed	Remaining
0	152	152034
1	154	76880
2	155	51814
3	157	39261
4	159	31812
5	161	26813
6	163	23207
7	166	20598
8	168	18542
9	170	16868
10	172	15509
11	174	14358
12	176	13384
13	178	12562
14	180	11823
15	181	11184
16	183	10628
17	185	10121
18	187	9675
19	189	9272
20	191	8907
21	192	8565
22	194	8263
23	196	7974
24	198	7732
25	199	7489
26	201	7271
27	203	7075
28	205	6877
29	207	6693
30	208	6527
31	210	6379
32	212	6230
33	214	6090
34	216	5957
35	217	5827
36	219	5709
37	220	5588
38	222	5483
39	225	5407
40	226	5307
41	228	5214
42	230	5123
43	231	5035
44	233	4951
45	234	4871
46	236	4797
47	238	4722
48	239	4652
49	241	4581
50	244	4555
51	246	4493
52	248	4434
53	249	4376
54	251	4320
55	252	4262
56	254	4210
57	257	4176
58	258	4128
59	260	4080
60	261	4030
61	263	3987
62	265	3944
63	266	3902
64	268	3864
65	270	3824
66	271	3786
67	272	3739
68	274	3706
69	276	3669
70	277	3634
71	279	3601
72	281	3570
73	282	3541
74	284	3512
75	286	3480
76	287	3449
77	289	3422
78	290	3390
79	292	3365
80	294	3339
81	296	3315
82	297	3290
83	299	3267
84	301	3240
85	302	3217
86	303	3186
87	305	3164
88	307	3143
89	308	3123
90	310	3102
91	312	3080
92	313	3060
93	315	3042
94	317	3023
95	319	3004
96	321	2994
97	323	2976
98	325	2958
99	326	2940
100	329	2934
101	330	2909
102	332	2893
103	333	2876
104	335	2861
105	337	2846
106	339	2829
107	340	2814
108	342	2801
109	344	2786
110	346	2771
111	348	2759
112	349	2745
113	351	2732
114	353	2718
115	354	2702
116	356	2691
117	358	2677
118	359	2658
119	360	2641
120	362	2629
121	363	2617
122	364	2600
123	366	2589
124	368	2578
125	370	2567
126	372	2557
127	373	2541
128	375	2533
129	376	2520
130	377	2506
131	379	2495
132	381	2484
133	382	2474
134	384	2465
135	386	2454
136	388	2445
137	389	2431
138	390	2421
139	392	2412
140	394	2403
141	396	2393
142	397	2381
143	400	2379
144	402	2370
145	403	2361
146	405	2352
147	406	2342
148	408	2333
149	410	2323
150	412	2320
151	414	2311
152	415	2301
153	417	2293
154	419	2285
155	420	2275
156	422	2267
157	423	2259
158	425	2250
159	426	2241
160	428	2231
161	429	2220
162	431	2215
163	432	2205
164	433	2195
165	435	2186
166	436	2177
167	437	2168
168	439	2160
169	440	2151
170	442	2145
171	444	2138
172	445	2130
173	446	2121
174	448	2114
175	450	2107
176	451	2101
177	453	2094
178	455	2087
179	456	2081
180	457	2071
181	459	2065
182	461	2059
183	462	2052
184	464	2045
185	465	2038
186	467	2031
187	468	2024
188	470	2019
189	472	2015
190	474	2009
191	475	2002
192	477	1996
193	478	1989
194	480	1983
195	481	1976
196	483	1969
197	484	1964
198	486	1958
199	488	1952
200	489	1946
201	491	1941
202	493	1936
203	494	1930
204	496	1924
205	497	1917
206	499	1912
207	500	1907
208	502	1901
209	503	1895
210	505	1889
211	506	1884
212	508	1877
213	509	1872
214	511	1866
215	512	1861
216	514	1856
217	515	1850
218	517	1845
219	518	1839
220	520	1833
221	521	1827
222	522	1822
223	524	1816
