iter	Passed	Remaining
0	160	160045
1	162	81103
2	165	54980
3	169	42272
4	172	34315
5	174	28959
6	177	25142
7	179	22314
8	182	20090
9	185	18342
10	186	16807
11	189	15561
12	190	14486
13	192	13566
14	193	12737
15	195	12009
16	196	11357
17	197	10789
18	200	10329
19	201	9864
20	202	9445
21	203	9064
22	204	8707
23	206	8382
24	207	8083
25	208	7802
26	209	7543
27	210	7308
28	211	7087
29	212	6881
30	213	6683
31	215	6506
32	216	6339
33	217	6180
34	218	6035
35	219	5888
36	221	5752
37	222	5631
38	223	5512
39	225	5401
40	226	5296
41	228	5202
42	229	5106
43	230	5012
44	231	4918
45	233	4833
46	234	4755
47	235	4675
48	236	4595
49	238	4523
50	239	4450
51	240	4384
52	241	4319
53	242	4253
54	243	4188
55	244	4126
56	245	4069
57	247	4013
58	248	3958
59	249	3904
60	250	3851
61	251	3798
62	252	3753
63	253	3709
64	254	3667
65	256	3623
66	257	3579
67	258	3540
68	259	3504
69	260	3466
70	261	3425
71	262	3388
72	263	3351
73	265	3319
74	266	3288
75	267	3255
76	268	3224
77	270	3193
78	271	3165
79	272	3137
80	273	3108
81	275	3078
82	275	3044
83	276	3016
84	277	2991
85	279	2965
86	279	2937
87	281	2920
88	282	2895
89	284	2871
90	285	2848
91	286	2825
92	287	2801
93	288	2776
94	289	2753
95	290	2732
96	291	2710
97	292	2689
98	293	2667
99	294	2647
100	295	2625
101	296	2607
102	297	2587
103	298	2569
104	299	2549
105	300	2530
106	300	2511
107	301	2492
108	302	2476
109	304	2461
110	305	2444
111	306	2426
112	306	2409
113	307	2392
114	309	2378
115	310	2362
116	310	2345
117	311	2330
118	312	2315
119	313	2300
120	314	2287
121	315	2274
122	317	2260
123	318	2247
124	319	2233
125	320	2220
126	320	2205
127	322	2194
128	323	2181
129	324	2168
130	324	2155
131	325	2142
132	326	2130
133	328	2120
134	329	2109
135	330	2096
136	330	2084
137	331	2073
138	332	2062
139	334	2052
140	335	2041
141	335	2028
142	336	2017
143	337	2007
144	338	1996
145	339	1986
146	340	1977
147	341	1968
148	342	1958
149	343	1948
150	344	1938
151	345	1929
152	347	1921
153	348	1912
154	349	1902
155	350	1893
156	350	1884
157	351	1875
158	353	1867
159	354	1859
160	354	1849
161	355	1840
162	356	1831
163	357	1823
164	359	1816
165	360	1810
166	361	1803
167	362	1796
168	363	1788
169	365	1782
170	366	1776
171	367	1769
172	368	1761
173	369	1753
174	370	1745
175	371	1739
176	372	1732
177	373	1725
178	374	1718
179	375	1710
180	376	1703
181	377	1696
182	378	1689
183	379	1684
184	380	1678
185	381	1671
186	383	1665
187	384	1661
188	386	1656
189	387	1650
190	388	1644
191	389	1640
192	390	1634
193	392	1628
194	393	1623
195	394	1617
196	395	1611
197	396	1607
198	398	1602
199	399	1597
200	400	1591
201	401	1585
202	402	1579
203	403	1575
204	404	1570
205	405	1564
206	406	1558
207	408	1554
208	409	1549
209	410	1544
210	411	1540
211	412	1534
212	414	1529
213	415	1525
214	416	1520
215	417	1515
216	418	1510
217	419	1505
218	420	1500
219	423	1500
220	424	1495
221	425	1489
222	426	1484
223	427	1481
224	429	1480
225	430	1475
226	431	1470
227	432	1465
228	434	1462
229	436	1462
230	437	1457
231	438	1452
232	439	1447
233	440	1443
234	442	1440
235	443	1435
236	444	1430
237	445	1426
238	446	1422
239	447	1418
240	448	1413
241	450	1409
242	451	1405
243	452	1401
244	453	1397
245	455	1396
246	456	1392
247	457	1388
248	459	1385
249	460	1381
250	461	1377
251	462	1372
252	463	1368
253	464	1364
254	466	1361
255	468	1360
256	469	1356
257	470	1352
258	471	1349
259	472	1346
260	474	1344
261	476	1341
262	477	1337
263	478	1334
264	479	1331
265	481	1327
266	482	1323
267	483	1320
268	484	1317
269	485	1313
270	487	1310
271	488	1306
272	489	1304
273	491	1301
274	493	1300
275	494	1297
276	496	1296
277	498	1293
278	499	1291
279	500	1288
280	502	1286
281	504	1283
282	507	1285
283	509	1285
284	511	1283
285	512	1280
286	514	1278
287	516	1276
288	517	1273
289	521	1276
290	523	1274
291	524	1272
292	526	1269
293	528	1268
294	529	1265
295	530	1262
296	532	1259
297	534	1258
298	535	1255
299	536	1252
300	537	1248
301	538	1245
302	540	1242
